geometry,@id,access,addr:city,addr:housenumber,addr:postcode,addr:street,alt_name,building,height,layer,man_made,name,note,old_name,phone,ref:bag,source,source:date,start_date,toilets:wheelchair,website,wheelchair,wikidata,wikimedia_commons,wikipedia,ref,description,heritage,tower:construction,tower:type,addr:country,operator,operator:website,operator:wikidata,telecom,architect,amenity,display,faces,visibility,historic,tourism,office,short_name,source:name,building:part,heritage:operator,ref:rce,building:levels,operator:wikipedia,roof:shape,building:material,min_height,roof:height,roof:material,ref:CGBCode,landuse,material,level,opening_hours,technology,technology_1,technology_2,technology_3,communication:gsm-r,communication:mobile_phone,location,barrier,bicycle,foot,motor_vehicle,communication:television,emergency,manufacturer,siren:model,siren:purpose,siren:type,support,operator:type,contact:facebook,contact:instagram,contact:twitter,mast,nest,name:en,communication:radio,frequency,communication:microwave,lamp_type,playground,communication:emergency_services,sources,highway,lamp_mount,capacity,species,species:en,species:nl,colour
"POLYGON ((4.857762 52.3501072, 4.8576882 52.3500876, 4.8577204 52.3500426, 4.8577943 52.3500621, 4.857762 52.3501072))",way/98672987,no,,,,,,yes,,,tower,,,,,363100012197426,BAG,2014-03-24,1914,,,,,,,,freestanding square bell tower of the Agneskerk (church),,freestanding,bell_tower,,,,,,,clock,analog,4,area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8836202 52.3745773, 4.8835668 52.3745791, 4.8834655 52.3745825, 4.8834574 52.3745824, 4.8834542 52.3745442, 4.8834575 52.3745441, 4.8834566 52.3745332, 4.8834556 52.374521, 4.8834522 52.3745211, 4.883449 52.3744829, 4.8834564 52.3744826, 4.8835305 52.3744804, 4.8835915 52.3744784, 4.8836119 52.3744778, 4.8836161 52.3745276, 4.8836202 52.3745773))",way/99203577,,,,,,,yes,,,tower,Westertoren,85 m,,,363100012174221,BAG,2014-02-11,1631,,,,,,nl:Westertoren (Amsterdam),,,,,bell_tower,,,,,,,,,,,yes,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.841334 52.388493, 4.8413349 52.3884406, 4.8413351 52.3884294, 4.8413361 52.3883756, 4.8413363 52.3883645, 4.8413373 52.3883089, 4.8413375 52.3883008, 4.8413477 52.3877368, 4.8416747 52.3877392, 4.8417887 52.3877399, 4.8419026 52.3877406, 4.842229 52.3877431, 4.842224 52.3880134, 4.8422225 52.3881888, 4.8422165 52.3885, 4.8419139 52.3884976, 4.8419141 52.3884879, 4.8416343 52.3884856, 4.8416341 52.3884954, 4.841334 52.388493))",way/218984116,,,,,,Glass House,commercial,,,,KPN Teleport,,,,0363100012165158,BAG,2022-10-04,2014,,https://nsi.nl/location/glass-house-amsterdam-2,,Q117341381,Category:KPN Teleport,,,,,,,,,,,,,,,,,,,telecommunication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.8614786 52.3816347, 4.8615074 52.3816534, 4.8614103 52.3817095, 4.8613815 52.3816909, 4.8612028 52.3817944, 4.8610333 52.3816847, 4.8616915 52.3813037, 4.8618613 52.3814132, 4.8614786 52.3816347))",way/276264449,,,,,,,yes,,,,Wijkcentrale Amsterdam-Sloterdijk,,,,0363100012134106,BAG,2014-03-24,1969,,,,,,,,,,,,,KPN,,Q338633,exchange,,,,,,,,,Asd-Slod,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9312233 52.3610127, 4.9311752 52.3610009, 4.9312132 52.3609431, 4.9312612 52.3609549, 4.9312233 52.3610127))",way/278390394,private,,,,,,,,1,tower,,,,,363100012219776,BAG,2014-03-24,1938,,,,,,,,,2,,observation,,,,,,H.G.J. Schelling,,,,,yes,,,,,yes,rce,526982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9197499 52.3334854, 4.9197125 52.3335396, 4.9195068 52.3338376, 4.9194034 52.3339874, 4.9194097 52.333989, 4.9193993 52.3340039, 4.9189784 52.3338952, 4.9189752 52.3339, 4.9189658 52.3338976, 4.9189667 52.3338963, 4.9187218 52.3338335, 4.9188915 52.333588, 4.9190193 52.3334032, 4.9190472 52.3333629, 4.9190808 52.3333142, 4.919172 52.3331823, 4.9194236 52.3332474, 4.9195133 52.3331174, 4.9196654 52.3328972, 4.9196693 52.3328915, 4.9196756 52.3328822, 4.9196783 52.3328782, 4.9200947 52.3329858, 4.91995 52.3331955, 4.9198864 52.3332877, 4.9198496 52.3333409, 4.9197499 52.3334854))",way/279859729,,,,,,,data_center,,,,,,,,363100012103608,BAG,2019-04-01,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9323802 52.3371414, 4.9313318 52.3373335, 4.9313307 52.3373312, 4.9313129 52.337295, 4.9312472 52.3371612, 4.930996 52.3366499, 4.9309954 52.3366487, 4.9309915 52.3366407, 4.9311523 52.3366107, 4.9311558 52.3366101, 4.9313908 52.3365662, 4.9313943 52.3365656, 4.9314764 52.3365502, 4.931551 52.3365366, 4.9315487 52.3365317, 4.9316466 52.3365136, 4.931641 52.3365021, 4.9316343 52.3365033, 4.9316326 52.3364997, 4.9316984 52.3364876, 4.9317001 52.3364912, 4.9316934 52.3364924, 4.9316991 52.3365039, 4.9317961 52.336486, 4.9318078 52.3364838, 4.9317942 52.3364563, 4.9317936 52.3364547, 4.9317933 52.3364531, 4.9317933 52.3364515, 4.9317936 52.3364499, 4.9317942 52.3364483, 4.931795 52.3364468, 4.9317961 52.3364453, 4.9317975 52.3364439, 4.9317991 52.3364426, 4.9318009 52.3364415, 4.9318029 52.3364404, 4.9318051 52.3364395, 4.9318074 52.3364388, 4.9318099 52.3364382, 4.9318125 52.3364377, 4.9318151 52.3364375, 4.9318177 52.3364374, 4.9318203 52.3364375, 4.9318229 52.3364378, 4.9318255 52.3364382, 4.9318279 52.3364388, 4.9318302 52.3364396, 4.9318324 52.3364405, 4.9318344 52.3364416, 4.9318362 52.3364428, 4.9318378 52.3364441, 4.9318391 52.3364455, 4.9318402 52.3364469, 4.9318544 52.3364749, 4.9318717 52.3364718, 4.9320131 52.3364457, 4.9320341 52.3364418, 4.9321002 52.3365764, 4.9321144 52.3365739, 4.9323802 52.3371414))",way/279860375,,,,,,,data_center,,,,,,,,0363100012081602,BAG,2021-08-08,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.93562 52.3050826, 4.935612 52.3050798, 4.9356146 52.3050768, 4.9352257 52.304943, 4.9353326 52.3048262, 4.9351879 52.3047763, 4.9351748 52.3047906, 4.9351377 52.3047778, 4.9351507 52.3047635, 4.9343989 52.3045045, 4.9347283 52.3041452, 4.9348561 52.3041893, 4.9352231 52.3043149, 4.9356625 52.304466, 4.9356971 52.3044281, 4.9360857 52.3045617, 4.9360888 52.3045584, 4.9360973 52.3045614, 4.93562 52.3050826))",way/282381343,,,,,,,data_center,,,,,,,,363100012096571,BAG,2014-05-07,1981,,,,,,,,,,,,,Verizon,,,data_center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9382153 52.3035201, 4.9378163 52.303383, 4.9378174 52.3033818, 4.9378185 52.3033806, 4.9376085 52.3033082, 4.9376929 52.3032159, 4.9379022 52.303288, 4.9380006 52.3031816, 4.9380175 52.303163, 4.9380057 52.3031589, 4.9380034 52.3031614, 4.9378621 52.303113, 4.9379793 52.3029847, 4.9379806 52.3029834, 4.9381218 52.303032, 4.9381195 52.3030345, 4.9381313 52.3030386, 4.9382457 52.3029128, 4.9380352 52.302841, 4.9381189 52.3027494, 4.93833 52.3028214, 4.9383325 52.3028186, 4.938499 52.3028759, 4.9387315 52.3029558, 4.9385322 52.3031737, 4.9382153 52.3035201))",way/282381349,,,,,,,data_center,,,,,,,,0363100012104121,BAG,2014-05-07,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((4.9507894 52.3569226, 4.9509722 52.3570315, 4.9510437 52.3570745, 4.9510422 52.3570754, 4.9510486 52.3570792, 4.9510515 52.3570792, 4.9510501 52.3570801, 4.9510752 52.357095, 4.9510768 52.3570941, 4.9513304 52.3572464, 4.9507994 52.3572693, 4.9507993 52.3572681, 4.9507243 52.3572713, 4.9507244 52.3572723, 4.9501941 52.357295, 4.9502958 52.3572309, 4.9503035 52.3572354, 4.9503204 52.3572248, 4.9503404 52.3572123, 4.9503328 52.3572078, 4.950472 52.357121, 4.9504735 52.3571219, 4.9505039 52.3571028, 4.9505024 52.3571019, 4.9507894 52.3569226))",way/295731026,,,,,,,data_center,,,,Digital Realty AMS17,,,,0363100012243277,BAG,2021-01-08,2021,,https://www.digitalrealty.com/data-centers/emea/amsterdam/ams17,,,,,AMS17,,,,,,Digital Realty,,Q5275969,data_center,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
