geometry,Adres,Plaats,Gebruiksdoel,Objectsoort,FUNCTIE,FUNCTIE_ID,Oppervlakte,HEX,Buurtcode,Verblijfsobject
POINT (52.395924 4.850057),Zekeringstraat 41A,Amsterdam,kantoorfunctie,Kantoor|Werkplaats,Kantoren,K,520,7,BB07,0363010001002874
POINT (52.3513001 4.8505991),Hoofddorpplein 6/H,Amsterdam,bijeenkomstfunctie,Cafe/bar,Horeca,H,88,5,KA03,0363010012092602
POINT (52.378577 4.8502781),Bos en Lommerweg 263,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,224,6,EF02,0363010012079714
POINT (52.351357 4.85061),Hoofddorpplein 8/H,Amsterdam,winkelfunctie|woonfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,54,4,KA03,0363010000670471
POINT (52.353595 4.8505829),Haarlemmermeerstraat 115/H,Amsterdam,winkelfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,123,5,KA03,0363010000656538
POINT (52.353649 4.8505821),Haarlemmermeerstraat 113/H,Amsterdam,bijeenkomstfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,136,5,KA03,0363010000656530
POINT (52.356345 4.85055),Haarlemmermeerstraat 49/H,Amsterdam,winkelfunctie|woonfunctie,Opslag/magazijn|Werkruimte|Winkel/verkoopruimte,Detailhandel,D,44,4,KA02,0363010000656325
POINT (52.356399 4.850549),Haarlemmermeerstraat 47/H,Amsterdam,winkelfunctie|woonfunctie,,Detailhandel,D,45,4,KA02,0363010000656320
POINT (52.35701 4.8505421),Haarlemmermeerstraat 29/H,Amsterdam,kantoorfunctie|woonfunctie,Winkel/verkoopruimte,Detailhandel,D,25,3,KA02,0363010000656266
POINT (52.357091 4.8505409),Haarlemmermeerstraat 27,Amsterdam,bijeenkomstfunctie,Winkel/verkoopruimte,Detailhandel,D,85,5,KA02,0363010000656262
POINT (52.395897 4.8500721),Zekeringstraat 41D,Amsterdam,kantoorfunctie,Kantoor|Werkplaats,Kantoren,K,1473,9,BB07,0363010001002877
POINT (52.351157 4.850624),Hoofddorpweg 32/H,Amsterdam,winkelfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,234,6,KA03,0363010012086774
POINT (52.350854 4.850631),Leimuidenstraat 1,Amsterdam,winkelfunctie,Cafetaria,Horeca,H,58,4,KA05,0363010000721914
POINT (52.35213 4.850615),Haarlemmermeerstraat 159/H,Amsterdam,woonfunctie,Restaurant,Horeca,H,42,4,KA03,0363010000656706
POINT (52.352381 4.850612),Haarlemmermeerstraat 151/H,Amsterdam,winkelfunctie,Opslag/magazijn|Winkel/verkoopruimte,Detailhandel,D,127,5,KA03,0363010000656674
POINT (52.353181 4.8506031),Haarlemmermeerstraat 123,Amsterdam,sportfunctie|woonfunctie,Woning,Detailhandel,D,51,4,KA03,0363010000656565
POINT (52.3535411 4.850598),Weissenbruchstraat 22,Amsterdam,winkelfunctie,,Detailhandel,D,92,5,KA03,0363010001040437
POINT (52.356021 4.850568),Haarlemmermeerstraat 55,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,73,4,KA02,0363010000656347
POINT (52.369026 4.8504111),Mercatorplein 49,Amsterdam,kantoorfunctie,Kantoor,Kantoren,K,282,6,EM01,0363010000984306
POINT (52.3725489 4.850369),Mercatorstraat 68/H,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,27,3,EK03,0363010000742104
POINT (52.3958971 4.850087),Zekeringstraat 41E,Amsterdam,kantoorfunctie,Kantoor,Kantoren,K,540,7,BB07,0363010001002878
POINT (52.397892 4.8500629),Dynamostraat 7,Amsterdam,industriefunctie,Kantoor|Werkplaats,Bedrijven,B,1675,10,BB07,0363010000903528
POINT (52.351478 4.8506309),Hoofddorpplein 12/H,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,110,5,KA03,0363010012159701
POINT (52.3517431 4.8506349),Haarlemmermeerstraat 171,Amsterdam,winkelfunctie,,Detailhandel,D,110,5,KA03,0363010000656735
POINT (52.3915301 4.8501541),Transformatorweg 37,Amsterdam,industriefunctie,Autowasplaats|Opslag/magazijn|Was-/kleedruimte,Bedrijven,B,3410,11,EA02,0363010000830071
POINT (52.395879 4.850102),Zekeringstraat 41K,Amsterdam,kantoorfunctie,,Kantoren,K,977,8,BB07,0363010001002882
POINT (52.394146 4.8501301),Isolatorweg 45,Amsterdam,gezondheidszorgfunctie,Opstal,Zorg,Z,1558,9,EA01,0363010011266348
POINT (52.34929 4.850679),Rietwijkerstraat 10/H,Amsterdam,winkelfunctie,Kantoor,Kantoren,K,48,4,KA05,0363010000792374
POINT (52.368783 4.8504441),Van Spilbergenstraat 168G,Amsterdam,industriefunctie,,Bedrijven,B,100,5,EM01,0363010000984327
POINT (52.37236 4.8504),Mercatorstraat 66,Amsterdam,winkelfunctie,Kantoor|Keuken|Winkel/verkoopruimte,Detailhandel,D,58,4,EK03,0363010001012729
POINT (52.333358 4.850876),Tjotterspad 40,Amsterdam,overige gebruiksfunctie,Kantoor|Opslag/magazijn|Werkplaats,Bedrijven,B,1506,9,KQ01,0363010012566729
POINT (52.351253 4.850665),Hoofddorpplein 4/H,Amsterdam,winkelfunctie,Winkel/verkoopruimte,Detailhandel,D,52,4,KA03,0363010012159699
POINT (52.3689721 4.8504561),Mercatorplein 35,Amsterdam,bijeenkomstfunctie,,Ontspanning en vermaak,C,211,6,EM01,0363010000984305
POINT (52.3986121 4.8500979),Dynamostraat 72,Amsterdam,industriefunctie|kantoorfunctie,Kantoor|Opslag/magazijn,Bedrijven,B,6484,19,BB07,0363010000675765
POINT (52.370311 4.8504549),Mercatorplein 96,Amsterdam,kantoorfunctie,Winkel/verkoopruimte,Detailhandel,D,90,5,EK03,0363010000679792
POINT (52.368927 4.8504859),Mercatorplein 33,Amsterdam,bijeenkomstfunctie,Overige ruimten,Kantoren,K,156,5,EM01,0363010000984304
POINT (52.392321 4.850203),Transformatorweg 36,Amsterdam,logiesfunctie,Entree/garderobe|Hotelkamer|Kantoor|Overige ruimten|Restaurant|Sanitaire ruimte,Logies,L,4355,12,EA01,0363010001026752
POINT (52.3962661 4.850156),Zekeringstraat 39D,Amsterdam,kantoorfunctie,,Kantoren,K,561,7,BB07,0363010001002873
POINT (52.3962841 4.850155),Zekeringstraat 39C,Amsterdam,kantoorfunctie,Kantoor,Kantoren,K,230,6,BB07,0363010001002872
POINT (52.396302 4.850155),Zekeringstraat 39B,Amsterdam,kantoorfunctie,Kantoor,Kantoren,K,260,6,BB07,0363010001002871
